timestep,reward,epsilon
1.329300000000000000e+04,9.200000000000000000e+01,4.000000000000000083e-02
1.338300000000000000e+04,9.000000000000000000e+01,4.000000000000000083e-02
1.340700000000000000e+04,2.400000000000000000e+01,4.000000000000000083e-02
1.345300000000000000e+04,4.600000000000000000e+01,4.000000000000000083e-02
1.346500000000000000e+04,1.200000000000000000e+01,4.000000000000000083e-02
1.351400000000000000e+04,4.900000000000000000e+01,4.000000000000000083e-02
1.360000000000000000e+04,8.600000000000000000e+01,4.000000000000000083e-02
1.369900000000000000e+04,9.900000000000000000e+01,4.000000000000000083e-02
1.380800000000000000e+04,1.090000000000000000e+02,4.000000000000000083e-02
1.397500000000000000e+04,1.670000000000000000e+02,4.000000000000000083e-02
1.418900000000000000e+04,2.140000000000000000e+02,4.000000000000000083e-02
1.432500000000000000e+04,1.360000000000000000e+02,4.000000000000000083e-02
1.443400000000000000e+04,1.090000000000000000e+02,4.000000000000000083e-02
1.456200000000000000e+04,1.280000000000000000e+02,4.000000000000000083e-02
1.463000000000000000e+04,6.800000000000000000e+01,4.000000000000000083e-02
1.465700000000000000e+04,2.700000000000000000e+01,4.000000000000000083e-02
1.468000000000000000e+04,2.300000000000000000e+01,4.000000000000000083e-02
1.470500000000000000e+04,2.500000000000000000e+01,4.000000000000000083e-02
1.473500000000000000e+04,3.000000000000000000e+01,4.000000000000000083e-02
1.476100000000000000e+04,2.600000000000000000e+01,4.000000000000000083e-02
1.478600000000000000e+04,2.500000000000000000e+01,4.000000000000000083e-02
1.480700000000000000e+04,2.100000000000000000e+01,4.000000000000000083e-02
1.483500000000000000e+04,2.800000000000000000e+01,4.000000000000000083e-02
1.490400000000000000e+04,6.900000000000000000e+01,4.000000000000000083e-02
1.497800000000000000e+04,7.400000000000000000e+01,4.000000000000000083e-02
1.505000000000000000e+04,7.200000000000000000e+01,4.000000000000000083e-02
1.514500000000000000e+04,9.500000000000000000e+01,4.000000000000000083e-02
1.519600000000000000e+04,5.100000000000000000e+01,4.000000000000000083e-02
1.528800000000000000e+04,9.200000000000000000e+01,4.000000000000000083e-02
1.537900000000000000e+04,9.100000000000000000e+01,4.000000000000000083e-02
1.548600000000000000e+04,1.070000000000000000e+02,4.000000000000000083e-02
1.559600000000000000e+04,1.100000000000000000e+02,4.000000000000000083e-02
1.569600000000000000e+04,1.000000000000000000e+02,4.000000000000000083e-02
1.579100000000000000e+04,9.500000000000000000e+01,4.000000000000000083e-02
1.589000000000000000e+04,9.900000000000000000e+01,4.000000000000000083e-02
1.598800000000000000e+04,9.800000000000000000e+01,4.000000000000000083e-02
1.608500000000000000e+04,9.700000000000000000e+01,4.000000000000000083e-02
1.619100000000000000e+04,1.060000000000000000e+02,4.000000000000000083e-02
1.628800000000000000e+04,9.700000000000000000e+01,4.000000000000000083e-02
1.631300000000000000e+04,2.500000000000000000e+01,4.000000000000000083e-02
1.641600000000000000e+04,1.030000000000000000e+02,4.000000000000000083e-02
1.650500000000000000e+04,8.900000000000000000e+01,4.000000000000000083e-02
1.659500000000000000e+04,9.000000000000000000e+01,4.000000000000000083e-02
1.668800000000000000e+04,9.300000000000000000e+01,4.000000000000000083e-02
1.670900000000000000e+04,2.100000000000000000e+01,4.000000000000000083e-02
1.673600000000000000e+04,2.700000000000000000e+01,4.000000000000000083e-02
1.678000000000000000e+04,4.400000000000000000e+01,4.000000000000000083e-02
1.682800000000000000e+04,4.800000000000000000e+01,4.000000000000000083e-02
1.685200000000000000e+04,2.400000000000000000e+01,4.000000000000000083e-02
1.688500000000000000e+04,3.300000000000000000e+01,4.000000000000000083e-02
1.698300000000000000e+04,9.800000000000000000e+01,4.000000000000000083e-02
1.708200000000000000e+04,9.900000000000000000e+01,4.000000000000000083e-02
1.719900000000000000e+04,1.170000000000000000e+02,4.000000000000000083e-02
1.721700000000000000e+04,1.800000000000000000e+01,4.000000000000000083e-02
1.731800000000000000e+04,1.010000000000000000e+02,4.000000000000000083e-02
1.734500000000000000e+04,2.700000000000000000e+01,4.000000000000000083e-02
1.744300000000000000e+04,9.800000000000000000e+01,4.000000000000000083e-02
1.761400000000000000e+04,1.710000000000000000e+02,4.000000000000000083e-02
1.773900000000000000e+04,1.250000000000000000e+02,4.000000000000000083e-02
1.783800000000000000e+04,9.900000000000000000e+01,4.000000000000000083e-02
1.786400000000000000e+04,2.600000000000000000e+01,4.000000000000000083e-02
1.796200000000000000e+04,9.800000000000000000e+01,4.000000000000000083e-02
1.809100000000000000e+04,1.290000000000000000e+02,4.000000000000000083e-02
1.812800000000000000e+04,3.700000000000000000e+01,4.000000000000000083e-02
1.816100000000000000e+04,3.300000000000000000e+01,4.000000000000000083e-02
1.828800000000000000e+04,1.270000000000000000e+02,4.000000000000000083e-02
1.853100000000000000e+04,2.430000000000000000e+02,4.000000000000000083e-02
